Player Name,Age,Team,ASR,Market Value,Nationality,Transfer History Count
George Ilenikhena,18 anni,AS Monaco,6.72,13.8M €,NGR,3
Geovany Quenda,18 anni,Sporting,7.10,49M €,POR,2
Gerard Martín,23 anni,Barcelona,6.87,6.8M €,ESP,2
Giacomo De Pieri,18 anni,Inter U20,7.53,1.4M €,ITA,Not found
Gianluigi Donnarumma,26 anni,Paris Saint-Germain,7.02,36M €,ITA,2
Giovanni Daffara,20 anni,Juventus Next Gen U23,6.95,415K €,ITA,1
Giovanni Fabbian,22 anni,Bologna,6.85,12.1M €,ITA,4
Gonzalo García,21 anni,Real Madrid Castilla,7.50,5.2M €,ESP,1
Gonçalo Inácio,23 anni,Sporting,7.22,47M €,POR,1
Gonçalo Oliveira,Not found,2.10    =    48%,Not found,Not found,Not found,Not found
Gonçalo Ramos,23 anni,Paris Saint-Germain,7.05,42M €,POR,5
Gregor Kobel,27 anni,Borussia Dortmund,6.91,41M €,SUI,5
Grégoire Coudert,26 anni,Stade Brestois,6.54,360K €,FRA,3
Guille Fernández,Not found,FINE 0 - 2,Not found,Not found,Not found,Not found
Guram Kashia,37 anni,ŠK Slovan Bratislava,6.87,220K €,GEO,5
Gustaf Nilsson,27 anni,Club Brugge KV,6.98,6.6M €,SWE,5
Gustavo Marques,23 anni,Benfica B,7.11,1.4M €,BRA,5
Guélor Kanga,34 anni,FK Crvena zvezda,7.51,660K €,GAB,5
Hakan Çalhanoğlu,31 anni,Inter,7.34,36M €,TUR,5
Hamidou Makalou,18 anni,Stade Brestois,6.48,220K €,MLI,1
Harry Kane,31 anni,FC Bayern München,7.69,98M €,ENG,5
Harvey Davies,21 anni,Liverpool,7.23,470K €,ENG,2
Harvey Elliott,22 anni,Liverpool,6.93,36M €,ENG,2
Hendry Blank,20 anni,Red Bull Salzburg,7.15,3.8M €,GER,2
Henrikh Mkhitaryan,36 anni,Inter,7.06,3.8M €,ARM,5
Henrique Arreiol,19 anni,Sporting CP B,6.77,1.1M €,POR,1
Hidemasa Morita,30 anni,Sporting,6.92,13.8M €,JPN,5
Hiroki Itō,26 anni,FC Bayern München,7.12,33M €,JPN,5
Hugo Bueno,22 anni,Feyenoord,Not found,8.7M €,ESP,3
Hugo Félix,21 anni,Benfica B,7.33,1.9M €,POR,3
Hugo Magnetti,26 anni,Stade Brestois,6.67,6.4M €,FRA,4
Hugo de Llanos,20 anni,Real Madrid Castilla,6.71,185K €,ESP,1
Hákon Haraldsson,22 anni,Lille,7.12,15.5M €,ISL,3
Héctor Fort,18 anni,Barcelona,6.74,9.7M €,ESP,2
Ian Maatsen,Not found23 anni,Aston Villa,6.93,26M €,NED,9
Ibrahim Kanté,18 anni,Stade Brestois U19,5.60,Not found,FRA,Not found
Ibrahim M'Baye,25 anni,Al-Riyadh,6.84,590K €,IRQ,5
Ibrahima Konaté,25 anni,Liverpool,7.11,62M €,FRA,3
Idjessi Metsoko,23 anni,ŠK Slovan Bratislava,6.68,580K €,TOG,4
Igor Paixão,24 anni,Feyenoord,7.50,23M €,BRA,3
Ilias Kostis,22 anni,Atlético Madrid B,7.05,450K €,GRE,0
Imanol García,24 anni,AC Sparta Praha,6.55,875K €,ESP,5
In-beom Hwang,28 anni,Feyenoord,7.29,10.9M €,KOR,5
Irakli Azarovi,23 anni,Shakhtar Donetsk,7.07,4.3M €,GEO,5
Isaac Babadi,20 anni,PSV Eindhoven,7.24,3.8M €,NED,2
Isaac Cossier,18 anni,LOSC Lille 2,6.30,Not found,FRA,Not found
Isaac Mabaya,20 anni,Liverpool U21,6.40,Not found,ZIM,Not found
Isak Hien,26 anni,Atalanta,6.89,29M €,SWE,5
Ismail Ka,Not found,Egyptian Second Division A,Not found,Not found,Not found,Not found
Ismaily,35 anni,Lille,6.99,1.5M €,BRA,8
Ismeal Kabia,19 anni,Arsenal U21,7.10,Not found,NED,Not found
Ivan Guteša,23 anni,FK Crvena zvezda,7.11,1.1M €,SRB,5
Ivan Nevistić,26 anni,GNK Dinamo Zagreb,6.76,1.6M €,CRO,5
Iván Fresneda,20 anni,Sporting,6.81,8.3M €,ESP,3
Iván Martín,26 anni,Girona FC,6.78,9.1M €,ESP,5
Iñaki Peña,26 anni,Barcelona,6.90,9.1M €,ESP,4
Iñigo Martínez,34 anni,Barcelona,7.16,5.2M €,ESP,4
Jack Grealish,29 anni,Manchester City,7.21,36M €,ENG,4
Jack Henry-Francis,21 anni,Arsenal U21,6.16,170K €,IRL,1
Jacob Bruun Larsen,26 anni,VfB Stuttgart,6.74,6.5M €,DEN,5
Jacob Hödl,18 anni,Sturm Graz II,6.73,430K €,AUT,1
Jacobo Ramón,20 anni,Real Madrid Castilla,7.23,530K €,ESP,1
Jacques Bomo,19 anni,Young Boys U21,6.90,110K €,SUI,Not found
Jakub Kiwior,25 anni,Arsenal,6.85,23M €,POL,5
Jakub Moder,26 anni,Feyenoord,7.00,10.9M €,POL,5
Jamal Musiala,22 anni,FC Bayern München,7.54,136M €,GER,1
James Forrest,33 anni,Celtic,6.96,540K €,SCO,1
James McAtee,22 anni,Manchester City,7.07,16.2M €,ENG,4
James McConnell,20 anni,Liverpool U21,6.78,2.1M €,ENG,1
Jamie Gittens,20 anni,Borussia Dortmund,7.03,49M €,ENG,1
Jamie Leweling,24 anni,VfB Stuttgart,6.93,18.4M €,GER,5
Jan Kuchta,28 anni,AC Sparta Praha,6.90,4.1M €,CZE,5
Jan Oblak,32 anni,Atlético Madrid,7.03,27M €,SLO,5
Jan Oliveras,20 anni,GNK Dinamo Zagreb,7.09,93K €,ESP,2
Janis Blaswich,34 anni,Red Bull Salzburg,6.67,930K €,GER,5
Janis Lüthi,20 anni,Young Boys U21,6.90,205K €,SUI,Not found
Jaouen Hadjam,22 anni,Young Boys,6.94,6.6M €,ALG,3
Jarzinho Malanga,18 anni,VfB Stuttgart II U21,6.67,1.3M €,GER,1
Jashar Dema,19 anni,Young Boys U21,6.67,105K €,KOS,Not found
Jastin García,21 anni,Girona B,6.55,Not found,POR,1
Javi Galán,30 anni,Atlético Madrid,6.88,3.9M €,ESP,5
Javier Serrano,22 anni,Atlético Madrid B,6.81,735K €,ESP,5
Javison Idele,18 anni,Atalanta,6.64,195K €,ITA,Not found
Jeanuël Belocian,20 anni,Bayer 04 Leverkusen,6.75,16.2M €,FRA,2
Jens Odgaard,26 anni,Bologna,6.84,11.4M €,DEN,5
