Player Name,Age,Team,ASR,Nationality,Transfer History Count,MarketValue,missing_market_value,Age_norm,MarketValue_norm,Transfers_norm,Nationality_norm,ClubTier,ClubTier_norm,InputScore,SustainabilityScore
Lamine Camara,21,AS Monaco,7.16,SEN,4,21000000,False,0.5725,0.18513513513513513,0.33999999999999997,1.0,3,1.0,1.577,4.54
Lamine Yamal,17,Barcelona,7.8,ESP,1,194000000,False,0.48250000000000004,0.8864864864864864,0.16,0.1,1,0.4,0.678,11.504
Landry Farré,18,Barcelona Atlètic,6.7,ESP,0,275000,False,0.505,0.10111486486486487,0.1,0.1,3,1.0,0.803,8.344
Lapo Nava,21,Milan Futuro,7.0,ITA,1,97000,False,0.5725,0.10039324324324325,0.16,0.1,3,1.0,0.884,7.919
Lautaro Martínez,27,Inter,7.25,ARG,2,89000000,False,0.7075,0.4608108108108109,0.22,1.0,3,1.0,1.576,4.6
Leandro Barreiro,25,Benfica,6.89,LUX,3,14500000,False,0.6625,0.1587837837837838,0.28,0.1,2,0.7,0.911,7.563
Leandro Morgalla,20,Red Bull Salzburg,6.73,GER,2,2100000,False,0.55,0.10851351351351352,0.22,1.0,2,0.7,1.342,5.015
Leandro Santos,19,Benfica,6.92,POR,2,1100000,False,0.5275,0.10445945945945946,0.22,1.0,2,0.7,1.33,5.203
Lennart Karl,17,Bayern München U19,7.0,GER,0,6400000,True,0.48250000000000004,0.12594594594594596,0.1,1.0,3,1.0,1.334,5.247
Leon Bailey,27,Aston Villa,6.81,JAM,3,30000000,False,0.7075,0.22162162162162163,0.28,1.0,3,1.0,1.6,4.256
Leon Belcar,23,GNK Dinamo Zagreb,7.04,CRO,3,870000,False,0.6174999999999999,0.10352702702702703,0.28,1.0,3,1.0,1.543,4.563
Leon Goretzka,30,FC Bayern München,7.09,GER,3,20000000,False,0.775,0.1810810810810811,0.28,1.0,3,1.0,1.63,4.35
Leon Grgić,19,SK Sturm Graz,6.8,AUT,2,1100000,False,0.5275,0.10445945945945946,0.22,0.1,3,1.0,0.91,7.473
Leon Klanac,18,Bayern München U19,7.35,GER,0,6400000,True,0.505,0.12594594594594596,0.1,1.0,3,1.0,1.345,5.465
Leon Koß,18,RB Leipzig U19,6.35,GER,0,6400000,True,0.505,0.12594594594594596,0.1,1.0,3,1.0,1.345,4.721
Lewin Blum,23,Young Boys,6.89,SUI,3,2900000,False,0.6174999999999999,0.11175675675675677,0.28,1.0,3,1.0,1.544,4.462
Lewis Ferguson,25,Bologna,6.89,SCO,3,22000000,False,0.6625,0.1891891891891892,0.28,1.0,3,1.0,1.574,4.377
Liam Bossin,28,Feyenoord,7.19,IRL,5,490000,False,0.73,0.10198648648648649,0.4,0.1,3,1.0,1.155,6.225
Lilian Baret,18,LOSC Lille 2,6.8,FRA,0,6400000,True,0.505,0.12594594594594596,0.1,0.1,3,1.0,0.805,8.447
Lloyd Kelly,26,Juventus,6.78,ENG,5,18500000,False,0.685,0.175,0.4,1.0,1,0.4,1.44,4.708
Loren Aguado,22,Real Madrid Castilla,6.64,ESP,5,97000,False,0.5950000000000001,0.10039324324324325,0.4,0.1,3,1.0,1.088,6.103
Lorenzo Anghelè,20,Juventus Next Gen U23,6.6,ITA,1,875000,False,0.55,0.10354729729729731,0.16,0.1,3,1.0,0.873,7.56
Lorenzo Bernasconi,21,Atalanta U23,7.43,ITA,2,410000,False,0.5725,0.10166216216216217,0.22,0.1,3,1.0,0.932,7.972
Lorenzo De Silvestri,36,Bologna,6.78,ITA,5,360000,False,0.91,0.10145945945945946,0.4,0.1,3,1.0,1.245,5.446
Lorin Jetzer,19,Young Boys U21,6.5,SUI,0,54000,False,0.5275,0.10021891891891893,0.1,1.0,3,1.0,1.354,4.801
Loris Benito,33,Young Boys,6.96,SUI,4,310000,False,0.8424999999999999,0.10125675675675676,0.33999999999999997,1.0,3,1.0,1.703,4.087
Louis Mouquet,20,Senza squadra,6.7,POR,1,6400000,True,0.55,0.12594594594594596,0.16,1.0,3,1.0,1.416,4.732
Luca Jaquez,21,VfB Stuttgart,6.98,SUI,2,6400000,False,0.5725,0.12594594594594596,0.22,1.0,3,1.0,1.475,4.732
Lucas Anjos,20,Sporting CP B,6.7,POR,0,6400000,True,0.55,0.12594594594594596,0.1,1.0,3,1.0,1.368,4.898
Lucas Beraldo,21,Paris Saint-Germain,7.09,BRA,2,23000000,False,0.5725,0.19324324324324327,0.22,1.0,1,0.4,1.242,5.709
Lucas Chevalier,23,Lille,7.11,FRA,4,31000000,False,0.6174999999999999,0.22567567567567567,0.33999999999999997,0.1,3,1.0,1.063,6.689
Lucas Digne,31,Aston Villa,6.94,FRA,5,11000000,False,0.7975,0.14459459459459462,0.4,0.1,3,1.0,1.193,5.817
Lucas Hernández,29,Paris Saint-Germain,6.85,FRA,4,31000000,False,0.7525,0.22567567567567567,0.33999999999999997,0.1,1,0.4,0.891,7.688
Lucas Michal,19,AS Monaco U21,6.56,FRA,0,520000,False,0.5275,0.10210810810810811,0.1,0.1,3,1.0,0.814,8.059
Lucas Pérez,36,PSV Eindhoven,7.32,ESP,4,485000,False,0.91,0.10196621621621622,0.33999999999999997,0.1,2,0.7,1.077,6.797
Lucas Vázquez,33,Real Madrid,7.03,ESP,5,3800000,False,0.8424999999999999,0.1154054054054054,0.4,0.1,1,0.4,0.973,7.225
Ludovic Ajorque,31,Stade Brestois,7.09,FRA,5,4200000,False,0.7975,0.11702702702702704,0.4,0.1,3,1.0,1.19,5.958
Luis Díaz,28,Liverpool,7.23,COL,4,92000000,False,0.73,0.472972972972973,0.33999999999999997,1.0,1,0.4,1.444,5.007
Luka Ilić,25,FK Crvena zvezda,7.31,SRB,5,1900000,False,0.6625,0.10770270270270271,0.4,0.1,3,1.0,1.122,6.515
Luka Ivanušec,26,Feyenoord,6.77,CRO,3,5400000,False,0.685,0.1218918918918919,0.28,1.0,3,1.0,1.579,4.288
Luka Jović,27,Milan,6.88,SRB,5,2600000,False,0.7075,0.11054054054054055,0.4,0.1,3,1.0,1.145,6.009
Luka Modrić,39,Real Madrid,7.29,CRO,5,5500000,False,0.9774999999999999,0.1222972972972973,0.4,1.0,1,0.4,1.581,4.611
Lukas Kačavenda,22,GNK Dinamo Zagreb,6.77,CRO,4,1900000,False,0.5950000000000001,0.10770270270270271,0.33999999999999997,1.0,3,1.0,1.58,4.285
Lukas Klostermann,28,RB Leipzig,6.87,GER,2,7700000,False,0.73,0.1312162162162162,0.22,1.0,2,0.7,1.434,4.791
Luke McCowan,27,Celtic,7.19,SCO,3,2100000,False,0.7075,0.10851351351351352,0.28,1.0,3,1.0,1.589,4.525
Lukáš Haraslín,28,AC Sparta Praha,7.44,SVK,5,7700000,False,0.73,0.1312162162162162,0.4,0.1,3,1.0,1.158,6.425
Lukáš Hrádecký,35,Bayer 04 Leverkusen,7.01,FIN,5,2100000,False,0.8875,0.10851351351351352,0.4,0.1,3,1.0,1.235,5.676
Lutfi Dalipi,18,Young Boys U21,6.4,SUI,0,90000,False,0.505,0.10036486486486487,0.1,1.0,3,1.0,1.343,4.765
Lutsharel Geertruida,24,RB Leipzig,6.74,NED,2,29000000,False,0.64,0.21756756756756757,0.22,1.0,2,0.7,1.398,4.821
Luuk de Jong,34,PSV Eindhoven,7.36,NED,5,2800000,False,0.865,0.11135135135135135,0.4,1.0,2,0.7,1.644,4.477
Lynnt Audoor,21,Club NXT U23,7.27,BEL,3,620000,False,0.5725,0.10251351351351352,0.28,0.1,3,1.0,0.981,7.411
Mads Bidstrup,24,Red Bull Salzburg,7.0,DEN,5,8700000,False,0.64,0.13527027027027028,0.4,1.0,2,0.7,1.534,4.563
Maghnes Akliouche,23,AS Monaco,7.26,FRA,1,39000000,False,0.6174999999999999,0.25810810810810814,0.16,0.1,3,1.0,0.923,7.866
Magnus Kofod Andersen,26,AC Sparta Praha,6.81,DEN,3,1200000,False,0.685,0.10486486486486488,0.28,1.0,3,1.0,1.577,4.318
Mahdi Camara,26,Stade Brestois,7.03,FRA,5,10800000,False,0.685,0.1437837837837838,0.4,0.1,3,1.0,1.137,6.183
Maik Nawrocki,24,Celtic,7.63,POL,5,1900000,False,0.64,0.10770270270270271,0.4,0.1,3,1.0,1.111,6.868
Mama Baldé,29,Stade Brestois,6.63,GBS,5,4300000,False,0.7525,0.11743243243243244,0.4,1.0,3,1.0,1.708,3.882
Mamadou Coulibaly,26,Catanzaro,6.65,SEN,5,745000,False,0.685,0.10302027027027028,0.4,1.0,3,1.0,1.673,3.975
Mamadou Fall,33,Kasımpaşa,6.92,SEN,5,750000,False,0.8424999999999999,0.10304054054054054,0.4,1.0,3,1.0,1.752,3.95
Mamady Diambou,22,Red Bull Salzburg,6.78,MLI,5,3300000,False,0.5950000000000001,0.11337837837837839,0.4,1.0,2,0.7,1.509,4.493
Manuel Akanji,29,Manchester City,7.01,SUI,5,29000000,False,0.7525,0.21756756756756757,0.4,1.0,1,0.4,1.478,4.743
Manuel Locatelli,27,Juventus,7.25,ITA,5,27000000,False,0.7075,0.20945945945945948,0.4,0.1,1,0.4,0.915,7.923
