Player Name,Age,Team,ASR,Nationality,Transfer History Count,MarketValue,missing_market_value,Age_norm,MarketValue_norm,Transfers_norm,Nationality_norm,ClubTier,ClubTier_norm,InputScore,SustainabilityScore
Marvin Keller,23,Young Boys,7.29,SUI,5,5300000,False,0.575,0.023873873873873873,0.3333333333333333,1.0,3,1.0,2.932,2.486
Massadio Haïdara,32,Stade Brestois,6.85,MLI,5,1900000,False,0.8,0.008558558558558558,0.3333333333333333,1.0,3,1.0,3.142,2.18
Matej Gashtarov,18,FK Crvena zvezda U19,6.5,MKD,0,6400000,True,0.45,0.02882882882882883,0.0,0.5,3,1.0,1.979,3.284
Mateo Kovačić,31,Manchester City,7.21,CRO,5,24000000,False,0.775,0.10810810810810811,0.3333333333333333,1.0,1,0.3333333333333333,2.55,2.827
Matevž Dajčar,23,Atalanta U23,6.79,SLO,1,110000,False,0.575,0.0004954954954954955,0.06666666666666667,1.0,3,1.0,2.642,2.57
Matheus Nunes,26,Manchester City,7.35,POR,4,33000000,False,0.65,0.14864864864864866,0.26666666666666666,1.0,1,0.3333333333333333,2.399,3.064
Matheus Reis,30,Sporting,6.85,BRA,5,7400000,False,0.75,0.03333333333333333,0.3333333333333333,1.0,3,1.0,3.117,2.198
Matteo Bignetti,21,SK Sturm Graz,7.35,AUT,2,260000,False,0.525,0.0011711711711711711,0.13333333333333333,0.5,3,1.0,2.16,3.403
Matteo Cocchi,18,Inter U20,7.2,ITA,0,1500000,False,0.45,0.006756756756756757,0.0,0.5,3,1.0,1.957,3.679
Matteo Darmian,35,Inter,6.8,ITA,5,3800000,False,0.875,0.017117117117117116,0.3333333333333333,0.5,3,1.0,2.725,2.495
Matteo Gabbia,25,Milan,6.95,ITA,5,14400000,False,0.625,0.06486486486486487,0.3333333333333333,0.5,3,1.0,2.523,2.755
Matteo Motta,20,Inter U20,7.14,ITA,0,105000,False,0.5,0.00047297297297297297,0.0,0.5,3,1.0,2.0,3.57
Mattia Liberali,18,Milan U19,7.01,ITA,1,5300000,False,0.45,0.023873873873873873,0.06666666666666667,0.5,3,1.0,2.041,3.435
Matty Cash,27,Aston Villa,6.89,POL,3,25000000,False,0.675,0.11261261261261261,0.2,0.5,3,1.0,2.488,2.769
Matúš Macík,31,ŠK Slovan Bratislava,6.73,SVK,5,190000,False,0.775,0.0008558558558558559,0.3333333333333333,0.5,3,1.0,2.609,2.58
Matěj Kovář,25,Bayer 04 Leverkusen,6.94,CZE,5,7200000,False,0.625,0.032432432432432434,0.3333333333333333,0.5,3,1.0,2.491,2.786
Maurits Kjærgaard,21,Red Bull Salzburg,7.53,DEN,4,12100000,False,0.525,0.0545045045045045,0.26666666666666666,1.0,2,0.6666666666666666,2.513,2.996
Mauro Couto,19,Sporting CP B,6.6,POR,0,210000,False,0.475,0.0009459459459459459,0.0,1.0,3,1.0,2.476,2.666
Mauro Júnior,26,PSV Eindhoven,7.09,BRA,4,12400000,False,0.65,0.055855855855855854,0.26666666666666666,1.0,2,0.6666666666666666,2.639,2.687
Max Alleyne,19,Manchester City U21,7.4,ENG,0,485000,False,0.475,0.0021846846846846845,0.0,1.0,3,1.0,2.477,2.987
Max Johnston,21,SK Sturm Graz,6.78,SCO,5,1900000,False,0.525,0.008558558558558558,0.3333333333333333,1.0,3,1.0,2.867,2.365
Maxim De Cuyper,24,Club Brugge KV,7.42,BEL,3,15500000,False,0.6,0.06981981981981981,0.2,0.5,3,1.0,2.37,3.131
Maxim Mateáš,17,ŠK Slovan Bratislava B U21,6.45,SVK,0,330000,False,0.425,0.0014864864864864865,0.0,0.5,3,1.0,1.926,3.349
Maximilian Beier,22,Borussia Dortmund,6.84,GER,4,27000000,False,0.55,0.12162162162162163,0.26666666666666666,1.0,2,0.6666666666666666,2.605,2.626
Maximilian Mittelstädt,28,VfB Stuttgart,7.3,GER,2,22000000,False,0.7,0.0990990990990991,0.13333333333333333,1.0,3,1.0,2.932,2.49
Maximiliano Araújo,25,Sporting,7.08,URU,4,12700000,False,0.625,0.057207207207207206,0.26666666666666666,1.0,3,1.0,2.949,2.401
Maximiliano Caufriez,28,Red Bull Salzburg,6.68,BEL,5,1400000,False,0.7,0.006306306306306306,0.3333333333333333,0.5,2,0.6666666666666666,2.206,3.028
Maximilián Marko,20,ŠK Slovan Bratislava B U21,6.6,SVK,0,79000,False,0.5,0.00035585585585585583,0.0,0.5,3,1.0,2.0,3.3
Mayssam Benama,20,AS Monaco U21,6.1,FRA,0,160000,False,0.5,0.0007207207207207207,0.0,0.5,3,1.0,2.001,3.048
Michael Bresser,18,Jong PSV Eindhoven,6.76,NED,0,245000,False,0.45,0.0011036036036036036,0.0,1.0,3,1.0,2.451,2.758
Michael Olise,23,FC Bayern München,7.83,FRA,3,77000000,False,0.575,0.34684684684684686,0.2,0.5,3,1.0,2.622,2.986
Michel Aebischer,28,Bologna,6.83,SUI,4,10500000,False,0.7,0.0472972972972973,0.26666666666666666,1.0,3,1.0,3.014,2.266
Miguel Chaiwa,21,Young Boys,6.65,ZAM,4,1200000,False,0.525,0.005405405405405406,0.26666666666666666,1.0,3,1.0,2.797,2.378
