Player Name
Jacques Bomo
Jakub Kiwior
Jakub Moder
Jamal Musiala
Jamaldeen Jimoh
James Forrest
James McAtee
James McCarthy
James McConnell
Jamie Gittens
Jamie Leweling
Jan Kuchta
Jan Oblak
Jan Oliveras
Janis Blaswich
Janis Lüthi
Jaouen Hadjam
Jarzinho Malanga
Jashar Dema
Jastin García
Javi Galán
Javier Gil
Javier Serrano
Javison Idele
Jeanuël Belocian
Jeff Chabot
Jens Odgaard
Jeremie Frimpong
Jesús Vallejo
Jeyland Mitchell
Jhon Lucumí
Jimi Gower
Joaquín Correa
Joe Gomez
Joeri Heerkens
Johan Bakayoko
John McGinn
John Mellberg
Johnny Kenny
Jon Gorenc Stanković
Jonah Kusi-Asare
Jonas Hofmann
Jonas Martin
Jonathan Asp-Jensen
Jonathan David
Jonathan Norbye
Jordan Amavi
Jordan Lotomba
Jordi Danso
Jorginho
Josep Martínez
Josh Nichols
Joshua Kimmich
Josip Mišić
José Giménez
José Silva
Jota
João Fonseca
João Félix
João Neves
João Palhinha
João Rêgo
João Simões
João Veloso
Joël Drommel
Joël Monteiro
Joško Gvardiol
Juan Arango
Juan Cabal
Juan Carlos
Juan Cuadrado
Juan Córdoba
Juan Miranda
Juan Musso
Juanpe
Jude Bellingham
Jude Bonnar
Jules Koundé
Julian Brandt
Julien Duranville
Julien Le Cardinal
Julián Alvarez
Julián Carranza
Juraj Kucka
Jurij Medveděv
Justin Bijlow
Justin Bourgault
Justin Diehl
Jérémy Doku
Kaan Kairinen
Kaden Braithwaite
Kai Havertz
Kamory Doumbia
Kang-in Lee
Karim Adeyemi
Karim Konaté
Kastriot Imeri
Kaua Wellhington Oliveira Pinto
Kauã Elias
Kaye Furo
Ken Izekor
Kenan Bajrič
Kenny Lala
Kerem Aktürkoğlu
Kerim Alajbegović
Kevin
Kevin De Bruyne
Kevin Kampl
Khvicha Kvaratskhelia
Kieran Morrison
Kingsley Coman
Kiril Fesiun
Koke
Konrad Laimer
Kortney Hause
Kosta Nedeljković
Kouakou Gadou
Kristjan Asllani
Krépin Diatta
Kylian Mbappé
Ladislav Krejčí
Lamare Bogarde
Lamine Camara
Lamine Yamal
Landry Farré
Lapo Nava
Lautaro Martínez
Leandro Barreiro
Leandro Morgalla
Leandro Santos
Lennart Karl
Leon Bailey
Leon Belcar
Leon Goretzka
Leon Grgić
Leon Jakirović
Leon Klanac
Leon Koß
Lewin Blum
Lewis Ferguson
Liam Bossin
Lilian Baret
Lloyd Kelly
Loren Aguado
Lorenzo Anghelè
Lorenzo Bernasconi
Lorenzo De Silvestri
Lorin Jetzer
Loris Benito
Louis Mouquet
Luca Jaquez
Luca Novodomsky
Lucas Anjos
Lucas Beraldo
Lucas Chevalier
Lucas Digne
Lucas García
Lucas Hernández
Lucas Michal
Lucas Pérez
Lucas Vázquez
Ludovic Ajorque
Luis Díaz
Luka Ilić
Luka Ivanušec
Luka Jović
Luka Modrić
Lukas Kačavenda
Lukas Klostermann
Luke McCowan
Lukáš Haraslín
Lukáš Hrádecký
Lutfi Dalipi
Lutsharel Geertruida
Luuk de Jong
Lynnt Audoor
Mads Bidstrup
Maghnes Akliouche
Magnus Kofod Andersen
Mahdi Camara
Maik Nawrocki
Mama Baldé
Mamadou Coulibaly
Mamadou Fall
Mamady Diambou
Manuel Akanji
Manuel Locatelli
Manuel Mendonça
Manuel Neuer
Manuel Silva
Marc Aznar
Marc Bernal
Marc Casadó
Marc-Aurèle Caillard
Marcel Lotka
Marco Asensio
Marco Bizot
Marco Brescianini
Marco Carnesecchi
Marcos Llorente
Marian Farina
Mario Hermoso
Mario Rivas
Marko Arnautović
Marlon Gomes
Marquinhos
Marten de Roon
Martin Baturina
Martin Erlić
Martin Kern
Martin Mišovič
Marvin Keller
Massadio Haïdara
Matej Gashtarov
Mateo Kovačić
Matevž Dajčar
Matheus Nunes
Matheus Reis
Matias Fernandez-Pardo
Matteo Bignetti
Matteo Cocchi
Matteo Darmian
Matteo Gabbia
Matteo Lavelli
Matteo Motta
Mattia Liberali
Matty Cash
Matúš Macík
Matěj Kovář
Maurits Kjærgaard
Mauro Couto
Mauro Júnior
Max Alleyne
Max Hudson
Max Johnston
Maxim De Cuyper
Maxim Mateáš
Maximilian Beier
Maximilian Mittelstädt
Maximiliano Araújo
Maximiliano Caufriez
Maximilián Marko
Mayssam Benama
Michael Bresser
Michael Olise
Michał Boledovic
Michel Aebischer
Michele Di Gregorio
Miguel Alves
Miguel Chaiwa
Miguel Gutiérrez
Mika Biereth
Mike Aidoo
Mike Maignan
Mikel Merino
Milson
Min-jae Kim
Min-su Kim
Mirko Ivanić
Mislav Ćutuk
Mitchel Bakker
Mohamed Camara
Morgan Costarelli
Morten Hjulmand
Mykola Matvienko
Myles Lewis-Skelly
Nabil Bentaleb
Nahuel Molina
Naim Byar
Naoufel El Hannach
Nathan Aké
Nathan Butler-Oyedeji
Nathanaël Mbuku
Neto
Newerton
Ngal'ayel Mukau
Nico González
Nico O'Reilly
Nicola Bagnolini
Nicolas Kühn
Nicolás Capaldo
Nicolás González
Nicolò Barella
Nicolò Cambiaghi
Nicolò Casale
Niklas Geyrhofer
Niklas Jessen
Niklas Lomb
Niko Galešić
Nikola Moro
Nikola Čavlina
Nikolas Nartey
Nino Marcelli
Noa Lang
Noa Mikić
Noah Darvich
Noah Jauny
Noham Kamara
Nordi Mukiele
Nordin Jackers
Nuno Félix
Nuno Mendes
Nuno Santos
Odilon Kossounou
Oliver Lukić
Olivier Boscagli
Omar Marmoush
Omri Glazer
Oriol Comas
Orkun Kökçü
Oscar Bobb
Oscar Gloukh
Otar Kiteishvili
Ousmane Dembélé
Ousmane Diomande
Oussama El Azzouzi
Papa Ba
Paris Irie
Pascal Groß
Paulo Gazzaniga
Petar Bočkaj
Peter Kiedl
Peter Olayinka
Phil Foden
Philipp Köhn
Piero Hincapié
Pierre Kalulu
Pierre Lees-Melou
Pietro Comi
Plamen Andreev
Presnel Kimpembe
Péter Gulácsi
Qazim Laçi
Quentin Ndjantou
Quilindschy Hartman
Rade Krunić
Radosław Majecki
Raffaele Di Gennaro
Rahim Ibrahim
Ramon Hendriks
Ramy Bensebaïni
Randal Kolo Muani
Raoul Bellanova
Raphaël Guerreiro
Raphaël Le Guen
Rayane Belaid
Relja Obrić
Remo Freuler
Reo Hatate
Riccardo Calafiori
Richy Ledezma
Rick Karsdorp
Rico Lewis
Ridle Baku
Rio Ngumoha
Robert Andrich
Robert Lewandowski
Robert Mak
Robin Le Normand
Robin Lisewski
Robin Olsen
Rodney Elongo-Yombo
Rodrigo De Paul
Romain Del Castillo
Romain Faivre
Roman Horák
Roman Mokrovics
Ronald Araujo
Ross Barkley
Ruben Loftus-Cheek
Ryan Flamingo
Ryan Gravenberch
Rémy Cabella
Sacha Boey
Sadegh Moharrami
Saidy Janko
Salko Hamzić
Sam Beukema
Samson Baidoo
Samuel Chukwueze
Samuel Dahl
Samuel Gomez van Hoogen
Samuel Habodász
Samuel Mbangula
Samuel Murár
Samuel Nibombe
Samy Mmaee
Sandro Kulenović
Sandro Lauper
Santiago Castro
Santiago Giménez
Saïmon Bouabré
Scott Bain
Scott Carson
Sead Kolašinac
